created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2020-12-11,32,95,33.4197,,,,,,
2020-12-14,32,95,33.7631,,,,,,
2020-12-15,32,95,33.6748,,,,,,
2020-12-16,32,95,33.7729,,,,,,
2020-12-17,32,94,33.9592,,,,,,
2020-12-18,32,95,34.1064,,,,,,
2020-12-21,32,102,33.9102,,,,,,
2020-12-22,32,100,33.7336,,,,,,
2020-12-23,32,98,34.1358,,,,,,
2020-12-24,32,98,34.3124,,,,,,
2020-12-28,32,92,34.538,,,,,,
2020-12-29,32,91,34.2339,,,,,,
2020-12-30,32,91,34.0083,,,,,,
2020-12-31,32,91,33.9985,,,,,,
2021-01-04,32,90,33.5767,,,,,,
2021-01-05,32,90,32.9293,,,,,,
2021-01-06,32,90,33.2922,,,,,,
2021-01-07,32,90,33.0519,,,,,,
2021-01-08,32,90,32.9783,,,,,,
2021-01-11,33,90,32.223,,,,,,
2021-01-12,33,95,31.5658,,,,,,
2021-01-13,33,95,31.399,,,,,,
2021-01-14,34,100,31.4677,,,,,,
2021-01-15,34,103,31.3794,,,,,,
2021-01-19,34,100,31.7424,,,,,,
2021-01-20,34,100,32.2328,,,,,,
2021-01-21,34,100,32.1544,,,,,,
2021-01-22,34,103,32.2819,,,,,,
2021-01-25,34,103,33.1058,,,,,,
2021-01-26,34,103,33.7336,,,,,,
2021-01-27,34,105,34.0769,,,,,,
2021-01-28,34,105,33.3118,,,,,,
2021-01-29,35,105,32.8704,,,,,,
2021-02-01,35,105,32.6154,,,,,,
2021-02-02,35,90,32.5271,,,,,,
2021-02-03,35,87,32.38,,,,,,
2021-02-04,34,85,32.2917,,,,,,
2021-02-05,34,84,33.1549,,,,,,
2021-02-08,34,81,33.2628,,,,,,
2021-02-09,34,81,33.0666,,,,,,
2021-02-10,34,81,33.2432,,,,,,
2021-02-11,35,76,34.8617,,,,,,
2021-02-12,35,75,34.7145,,,,,,
2021-02-16,35,75,34.6851,,,,,,
2021-02-17,35,75,36.3134,,,,,,
2021-02-18,35,77,38.2164,,,,,,
2021-02-19,35,77,36.7646,,,,,,
2021-02-22,35,72,36.5194,,,,,,
2021-02-23,35,75,36.4115,,,,,,
2021-02-24,35,75,36.8824,,,,,,
2021-02-25,35,75,36.5587,,,,,,
2021-02-26,35,75,35.6856,,,,,,
2021-03-01,35,80,36.3821,,,,,,
2021-03-02,35,77,36.6077,,,,,,
2021-03-03,35,84,37.2551,,,,,,
2021-03-04,35,80,36.4998,,,,,,
2021-03-05,35,80,37.1276,,,,,,
2021-03-08,35,80,37.9319,,,,,,
2021-03-09,35,85,38.3832,,,,,,
2021-03-10,35,82,38.7559,,,,,,
2021-03-11,34,79,38.1217,,,,,,
2021-03-12,34,79,37.765,,,,,,
2021-03-15,33,78,38.1812,,,,,,
2021-03-16,33,80,38.3893,,,,,,
2021-03-17,33,80,38.7262,,,,,,
2021-03-18,33,83,38.5874,,,,,,
2021-03-19,33,80,38.7856,,,,,,
2021-03-22,33,83,39.1919,,,,,,
2021-03-23,33,84,38.5676,,,,,,
2021-03-24,33,86,37.8839,,,,,,
2021-03-25,33,85,38.8451,,,,,,
2021-03-26,33,84,39.6676,,,,,,
2021-03-29,33,84,40.4108,,,,,,
2021-03-30,34,80,39.9153,,,,,,
2021-03-31,34,79,39.6378,,,,,,
2021-04-01,34,74,39.6676,,,,,,
2021-04-05,34,76,39.945,,,,,,
2021-04-06,33,70,40.3315,,,,,,
2021-04-07,33,73,40.272,,,,,,
2021-04-08,34,72,40.4405,,,,,,
2021-04-09,34,72,39.7766,,,,,,
2021-04-12,33,72,40.3315,,,,,,
2021-04-13,33,72,40.5495,,,,,,
2021-04-14,33,72,39.9054,,,,,,
2021-04-15,34,72,40.6783,,,,,,
2021-04-16,34,72,40.6288,,,,,,
2021-04-19,34,72,40.5792,,,,,,
2021-04-20,34,72,40.6585,,,,,,
2021-04-21,34,73,41.2035,,,,,,
2021-04-22,34,73,40.5991,,,,,,
2021-04-23,34,73,40.0441,,,,,,
2021-04-26,34,73,39.7667,,,,,,
2021-04-27,34,73,39.7369,,,,,,
2021-04-28,34,75,39.7568,,,,,,
2021-04-29,35,72,41.3076,,,,,,
2021-04-30,35,72,40.9162,,,,,,
2021-05-03,35,72,41.6098,,,,,,
2021-05-04,35,71,41.9765,,,,,,
2021-05-05,35,74,42.0855,,,,,,
2021-05-06,35,74,42.7296,,,,,,
2021-05-07,35,72,43.0863,,,,,,
2021-05-10,35,74,43.2251,,,,,,
2021-05-11,35,75,42.8634,,,,,,
2021-05-12,35,75,42.5314,,,,,,
2021-05-13,35,77,43.4233,,,,,,
2021-05-14,35,75,43.3341,,,,,,
2021-05-17,35,74,43.4034,,,,,,
2021-05-18,35,74,43.2895,,,,,,
2021-05-19,35,77,43.1755,,,,,,
2021-05-20,35,75,43.4728,,,,,,
2021-05-21,35,75,43.7305,,,,,,
2021-05-24,35,75,44.1169,,,,,,
2021-05-25,35,75,43.7503,,,,,,
2021-05-26,34,75,43.78,,,,,,
2021-05-27,34,74,43.43,,,,,,
2021-05-28,34,75,43.59,,,,,,
2021-06-01,62,73,43.85,,,,,,
2021-06-02,32,74,44.09,,,,,,
2021-06-03,40,72,43.99,,,,,,
2021-06-04,42,74,43.96,,,,,,
2021-06-07,14,72,43.88,,,,,,
2021-06-08,18,69,43.78,,,,,,
2021-06-09,18,74,43.04,,,,,,
2021-06-10,17,72,42.95,,,,,,
2021-06-11,17,72,43.42,,,,,,
2021-06-14,17,72,42.82,,,,,,
2021-06-15,17,70,42.76,,,,,,
2021-06-16,17,75,41.91,,,,,,
2021-06-17,17,72,41.33,,,,,,
2021-06-18,17,75,40.5,,,,,,
2021-06-21,17,76,40.83,,,,,,
2021-06-22,17,76,40.55,,,,,,
2021-06-23,17,72,40.14,,,,,,
2021-06-24,17,74,40.37,,,,,,
2021-06-25,17,76,40.69,,,,,,
2021-06-28,17,72,40.88,,,,,,
2021-06-29,18,73,40.58,,,,,,
2021-06-30,34,72,40.78,,,,,,
2021-07-01,16,71,40.49,,,,,,
2021-07-02,17,71,40.38,,,,,,
2021-07-06,18,70,39.65,,,,,,
2021-07-07,18,70,39.85,,,,,,
2021-07-08,16,73,39.6,,,,,,
2021-07-09,17,76,39.95,,,,,,
2021-07-12,17,73,39.79,,,,,,
2021-07-13,17,73,39.16,,,,,,
2021-07-14,17,75,38.99,,,,,,
2021-07-15,17,76,39.43,,,,,,
2021-07-16,17,76,39.3,,,,,,
2021-07-19,17,78,39.34,,,,,,
2021-07-20,17,76,39.4,,,,,,
2021-07-21,17,77,39.37,,,,,,
2021-07-22,17,77,38.8,,,,,,
2021-07-23,17,77,39.22,,,,,,
2021-07-26,17,76,39.52,,,,,,
2021-07-27,17,75,39.27,,,,,,
2021-07-28,16,77,38.92,,,,,,
2021-07-29,33,75,38.98,,,,,,
2021-07-30,33,75,38.47,,,,,,
2021-08-02,17,75,38.58,,,,,,
2021-08-03,18,77,38.94,,,,,,
2021-08-04,19,79,36.94,,,,,,
2021-08-06,19,77,37.2,,,,,,
2021-08-09,20,76,37.31,,,,,,
2021-08-10,20,76,37.47,,,,,,
2021-08-11,20,75,37.77,,,,,,
2021-08-12,20,75,37.36,,,,,,
2021-08-13,20,72,37.87,,,,,,
2021-08-16,21,75,38.01,,,,,,
2021-08-17,21,75,37.91,,,,,,
2021-08-18,21,77,36.95,,,,,,
2021-08-19,20,72,36.83,,,,,,
2021-08-20,20,77,36.6,,,,,,
2021-08-23,20,71,36.64,,,,,,
2021-08-24,20,76,36.55,,,,,,
2021-08-25,19,70,36.75,,,,,,
2021-08-26,19,70,36.07,,,,,,
2021-08-27,19,75,36.38,,,,,,
